Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product subtitle (product.metafields.descriptors.subtitle),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),video (product.metafields.my_fields.video),Chamois type (product.metafields.next_cart.chamois-type),Colección Agu (product.metafields.next_cart.coleccion-agu),Color (product.metafields.next_cart.color),Color Anteojo (product.metafields.next_cart.color-anteojo),Cross-sell Products (product.metafields.next_cart.complementary_products),Genero (product.metafields.next_cart.genero),Height (product.metafields.next_cart.height),ISBN (product.metafields.next_cart.isbn),Length (product.metafields.next_cart.length),Short Description (product.metafields.next_cart.short_description),Talla (product.metafields.next_cart.talla),Talla accesorios (product.metafields.next_cart.talla-accesorios),Temperatura (product.metafields.next_cart.temperatura),Temporada (product.metafields.next_cart.temporada),Tipo Lente (product.metafields.next_cart.tipo-lente),Up-sell Products (product.metafields.next_cart.up_sell_products),Width (product.metafields.next_cart.width),Product rating count (product.metafields.reviews.rating_count),Accessory size (product.metafields.shopify.accessory-size),Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Compatible bike type (product.metafields.shopify.compatible-bike-type),Compatible eyewear type (product.metafields.shopify.compatible-eyewear-type),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Eyewear frame material (product.metafields.shopify.eyewear-frame-material),Eyewear lens material (product.metafields.shopify.eyewear-lens-material),Fabric (product.metafields.shopify.fabric),Lens color (product.metafields.shopify.lens-color),Lens polarization (product.metafields.shopify.lens-polarization),Lens type (product.metafields.shopify.lens-type),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Optical frame design (product.metafields.shopify.optical-frame-design),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),UV protection (product.metafields.shopify.uv-protection),Vehicle placement (product.metafields.shopify.vehicle-placement),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Chile,Price / Chile,Compare At Price / Chile,Status
tricota-gravel-hombre-agu-venture,,,,,,,,,Mostaza,,,L,,,,,49309200-048-05,200.0,shopify,1,deny,manual,129990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_detail_01-scaled.jpg?v=1762464728,2,Tricota gravel AGU Venture Ginger detalle cuello y cremallera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_main_01-1.jpg?v=1762464723,kg,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,Verde Musgo,,,S,,,,,49309200-049-03,200.0,shopify,1,deny,manual,109990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_detail_02-scaled.jpg?v=1762464728,3,Tricota gravel AGU Venture tejido 4-Way Stretch libertad movimiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-049_main_01-1.jpg?v=1762464728,kg,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,Verde Musgo,,,M,,,,,49309200-049-04,200.0,shopify,1,deny,manual,109990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_detail_03-scaled.jpg?v=1762464728,4,Tricota gravel AGU Venture Stone Moss verde vista frontal ciclismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-049_main_01-1.jpg?v=1762464728,kg,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_detail_04-scaled.jpg?v=1762464728,5,Tricota gravel AGU Venture detalle bolsillos traseros ciclismo aventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_detail_05-scaled.jpg?v=1762464728,6,49309200-048_detail_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_detail_06-scaled.jpg?v=1762464728,7,49309200-048_detail_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_model_20-scaled.jpg?v=1762464728,8,49309200-048_model_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_model_23-scaled.jpg?v=1762464728,9,49309200-048_model_23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_model_24-scaled.jpg?v=1762464728,10,49309200-048_model_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-049_detail_01-scaled.jpg?v=1762464728,11,49309200-049_detail_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-049_detail_02-scaled.jpg?v=1762464728,12,49309200-049_detail_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-049_detail_03-scaled.jpg?v=1762464728,13,49309200-049_detail_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-049_detail_04-scaled.jpg?v=1762464728,14,49309200-049_detail_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-049_detail_05-scaled.jpg?v=1762464732,15,49309200-049_detail_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-049_main_01-scaled.jpg?v=1762464728,16,49309200-049_main_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-048_main_01-scaled.jpg?v=1762464728,17,49309200-048_main_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tricota-gravel-hombre-agu-venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49309200-049_main_01-1.jpg?v=1762464728,18,49309200-049_main_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-aero-performance-pro-ciclismo-hombre-agu-negro,Calza Aero Performance Pro Ciclismo Hombre AGU | Negro Premium,"<h3>Calza Aero Performance Pro Ciclismo Hombre AGU Negro Premium | El Culote Pro de Mayor Rendimiento</h3><p>La Calza Aero Performance Pro de AGU es la pieza más avanzada del catálogo de culotes de la marca: un culote de nivel Pro con los tejidos aerodínamos más avanzados, el badaña de mayor rendimiento y los acabados de calidad más exigente del portafolio AGU. Para el ciclista chileno que compite o entrena con la intensidad de un profesional y exige lo mejor en cada detalle de su equipamiento.</p><h3>Tejidos Aerodínamos de Nivel Pro</h3><p>Los paneles exteriores utilizan los tejidos de menor coeficiente de arrastre del catálogo AGU, seleccionados y posicionados a través de análisis en túnal de viento para maximizar el ahorro de energía aerodínama en posición de pedaleo. La diferencia respecto a culotes de nivel inferior es significativa y medible en cronómetros y pruebas de largo aliento donde la acumulación de segundos ahorrados determina el resultado.</p><h3>Badaña Pro: El Mejor de AGU</h3><p>El badaña Pro de AGU es el resultado de años de desarrollo con ciclistas de alto rendimiento: espuma multicapas con densidades diferenciadas por zona, capa de tricot de alta gestión de la humedad y forma anatómica que minimiza la presión en zonas críticas durante horas de pedaleo intenso. El nivel de confort en sillón que diferencia a un culote premium de uno de gama media se siente desde el primer kilómetro.</p><h3>Para el Ciclista Chileno que No Acepta Compromisos</h3><p>Recomendada para temperaturas de 16–28 °C. La Calza Aero Performance Pro es la elección de los ciclistas que compiten en criteriums, fondos y cicloturistas exigentes en las rutas más duras de Chile. Una inversión de alto valor que se justifica en rendimiento, comodidad y durabilidad en cada salida.</p><h3>Guía de Tallas AGU Hombre</h3><table>
<thead><tr>
<th>Talla</th>
<th>Pecho</th>
<th>Cintura</th>
</tr></thead>
<tbody>
<tr>
<td>XS</td>
<td>&lt;94 cm</td>
<td>&lt;84 cm</td>
</tr>
<tr>
<td>S</td>
<td>94–98 cm</td>
<td>84–88 cm</td>
</tr>
<tr>
<td>M</td>
<td>98–102 cm</td>
<td>88–92 cm</td>
</tr>
<tr>
<td>L</td>
<td>102–106 cm</td>
<td>92–96 cm</td>
</tr>
<tr>
<td>XL</td>
<td>106–111 cm</td>
<td>96–101 cm</td>
</tr>
<tr>
<td>XXL</td>
<td>111–117 cm</td>
<td>101–107 cm</td>
</tr>
</tbody>
</table><p>Si quedas entre dos tallas, elige la más grande.</p>",Agu,Uncategorized,Calzas de Ciclismo Hombre,"agu, calzas-aerodinamicas, calzas-ciclismo-hombre, calzas-compresion, ciclismo-chile, premium, ropa-ciclismo-hombre, ruta",true,Talla,S,,,,,,,,45106201-000-03,200.0,shopify,3,deny,manual,199990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_main_01-1.jpg?v=1762464717,1,Calza aero hombre AGU Performance Pro negra vista frontal con tirantes láser,false,Calza Aero Performance Pro Hombre AGU Negro | Premium Sin Sobreprecio,Calza aero Pro AGU negra. Ingeniería de velocidad real sin pagar sobreprecio por marketing. Badana premium y tejido aero. Tallas S a XXL. Envío a Chile.,,,,,,,,,,,,Podemos decir con orgullo que el culotte con tirantes Aero es nuestro,,,Contour,Premium,,,,Hombre,20,,25,"Culotte Aero de alto rendimiento con Lycra Intense, compresión estratégica y badana Contour profesional. Aerodinámica probada y tecnología Coldblack para máximo confort en rutas largas.",,,"5-12
10-18
20-28
25
15-23","Primavera
Verano",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_main_01-1.jpg?v=1762464717,kg,,,true,,,active
calza-aero-performance-pro-ciclismo-hombre-agu-negro,,,,,,,,,M,,,,,,,,45106201-000-04,200.0,shopify,10,deny,manual,199990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_detail_01-scaled.jpg?v=1762464717,2,Calza AGU Aero Performance Pro detalle de bandas de agarre láser sin costuras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_main_01-1.jpg?v=1762464717,kg,,,,,,
calza-aero-performance-pro-ciclismo-hombre-agu-negro,,,,,,,,,L,,,,,,,,45106201-000-05,200.0,shopify,21,deny,manual,199990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_detail_03-scaled.jpg?v=1762464717,3,Calza AGU Aero Performance Pro detalle de tejido Lycra Intense compresión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_main_01-1.jpg?v=1762464717,kg,,,,,,
calza-aero-performance-pro-ciclismo-hombre-agu-negro,,,,,,,,,XL,,,,,,,,45106201-000-06,200.0,shopify,17,deny,manual,199990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_detail_04-scaled.jpg?v=1762464717,4,Calza AGU Aero Performance Pro detalle de badana Contour Chamois anatómica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_main_01-1.jpg?v=1762464717,kg,,,,,,
calza-aero-performance-pro-ciclismo-hombre-agu-negro,,,,,,,,,XXL,,,,,,,,45106201-000-07,200.0,shopify,3,deny,manual,199990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_detail_05-scaled.jpg?v=1762464718,5,Calza AGU Aero Performance Pro detalle de tecnología Coldblack reflectante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_main_01-1.jpg?v=1762464717,kg,,,,,,
calza-aero-performance-pro-ciclismo-hombre-agu-negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_model_20-scaled.jpg?v=1762464717,6,Calza AGU Aero Performance Pro vista lateral en modelo ciclista en ruta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-aero-performance-pro-ciclismo-hombre-agu-negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_model_21-scaled.jpg?v=1762464717,7,Calza AGU Aero Performance Pro vista trasera en modelo con tirantes ergonómicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-aero-performance-pro-ciclismo-hombre-agu-negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_model_22-scaled.jpg?v=1762464717,8,Calza AGU Aero Performance Pro vista en modelo sobre la bicicleta aerodinámica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-aero-performance-pro-ciclismo-hombre-agu-negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_model_23-scaled.jpg?v=1762464717,9,Calza AGU Aero Performance Pro vista detalle de corte sobre la rodilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-aero-performance-pro-ciclismo-hombre-agu-negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_model_24-scaled.jpg?v=1762464717,10,Calza AGU Aero Performance Pro vista lateral en uso con Lycra Intense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-aero-performance-pro-ciclismo-hombre-agu-negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/45106201-000_model_25-scaled.jpg?v=1762464718,11,Calza AGU Aero Performance Pro vista en modelo con tirantes microperforados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,Calza con Tirantes Gravel Mujer AGU Venture | Army Green y Rose Brown,"<h3>Calza con Tirantes Gravel Mujer AGU Venture Army Green y Rose Brown</h3><p>La Calza con Tirantes Gravel Mujer AGU Venture es la prenda diseñada desde cero para el ciclismo de aventura femenino en Chile. No es una calza de ruta adaptada al gravel: es una pieza desarrollada específicamente para enfrentar rutas mixtas, ripio, caminos rurales y largas distancias donde el terreno no perdona. Disponible en las coloraciones Army Green y Rose Brown de la colección Venture.</p><h3>Badaña Gravel Todo Terreno y Tejido Lycra Intense 190g</h3><p>Equipada con una badaña especialmente diseñada para absorber las vibraciones constantes del ciclismo en grava, con amortiguación intermedia entre las calzas de ruta y las de MTB. El tejido Lycra Intense de 190g con 35% elastano ofrece compresión firme pero cómoda, resistencia al desgaste y repelencia ligera al agua para las largas jornadas de aventura en el territorio chileno.</p><h3>Construcción para la Aventura Prolongada</h3><p>Paneles de malla laterales y traseros para mayor ventilación en los esfuerzos largos. Tirantes rediseñados con panel de malla entre omóplatos para mayor comodidad durante horas sobre la bicicleta. Correas elásticas de alta calidad que distribuyen la presión de forma uniforme. Bandas de silicona en piernas para ajuste firme en terreno irregular y variado.</p><h3>Para los Caminos de Gravel en Chile</h3><p>Ideal entre 12°C y 28°C. Perfecta para el bikepacking en la Carretera Austral, las rutas de grava del Valle del Elqui o los caminos rurales de la Región del Maule. Combínala con la Tricota Gravel Venture de AGU para el kit de aventura femenino más completo. Los colores Army Green y Rose Brown reflejan el espíritu de la colección Venture.</p><h3>Guía de Tallas AGU Mujer</h3><table>
<thead><tr>
<th>Talla</th>
<th>Pecho</th>
<th>Cintura</th>
</tr></thead>
<tbody>
<tr>
<td>XS</td>
<td>&lt;86 cm</td>
<td>&lt;70 cm</td>
</tr>
<tr>
<td>S</td>
<td>86–90 cm</td>
<td>70–74 cm</td>
</tr>
<tr>
<td>M</td>
<td>90–94 cm</td>
<td>74–78 cm</td>
</tr>
<tr>
<td>L</td>
<td>94–98 cm</td>
<td>78–82 cm</td>
</tr>
<tr>
<td>XL</td>
<td>98–103 cm</td>
<td>82–87 cm</td>
</tr>
</tbody>
</table><p>Si quedas entre dos tallas, elige la más grande.</p>",Agu,Sporting Goods > Outdoor Recreation > Cycling > Cycling Apparel & Accessories > Cycling Shorts & Bib Shorts,Calzas de Ciclismo Mujer,"agu, bikepacking, calzas-ciclismo-mujer, calzas-gravel, ciclismo-chile, ciclismo-gravel, ropa-ciclismo-mujer",true,Color,Army Green,,Talla,S,,,,,49310701-560-03,200.0,shopify,3,deny,manual,135990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-560_main_01.jpg?v=1762464715,1,Calza AGU Gravel mujer color verde oliva vista frontal con tirantes,false,Calza Gravel Mujer AGU Venture con Tirantes | Todoterreno,Calza con tirantes gravel mujer AGU Venture. Diseñada para terreno real con control y comodidad. Army Green y Rose Brown. Tallas XS a M. Envío a Chile.,5322,,,,,,,,,,,El nuevo culotte con tirantes Gravel ha sido diseñado especí,,,,Venture,"verde
cafe",,cortaviento-mujer-essential-reflectante-agu; cortaviento-mujer-trend-leather-agu; cortaviento-mujer-trend-oil-flower-agu,Mujer,,,,Calza Gravel AGU con compresión equilibrada y badana específica para absorber vibraciones. Control total en rutas mixtas y fondos largos.,,,"5-12
10-18
20-28
25
15-23","Primavera
Verano
Otoño",,,,,,,,adultos,,,,,negro-1; marron; army-green,,,,,,,,,,,,,,femenino,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-560_main_01.jpg?v=1762464715,kg,,,true,,,active
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,Army Green,,,M,,,,,49310701-560-04,200.0,shopify,2,deny,manual,135990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_main_01.jpg?v=1762464711,2,Calza ciclismo gravel mujer AGU Venture color burdeos vista frontal con tirantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-560_main_01.jpg?v=1762464715,kg,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,Rose Brown,,,XS,,,,,49310701-590-02,200.0,shopify,3,deny,manual,135990,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-560_detail_04-scaled.jpg?v=1762464715,3,49310701-560_detail_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_main_01.jpg?v=1762464711,kg,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-560_detail_01-scaled.jpg?v=1762464715,4,49310701-560_detail_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-000_main_01.jpg?v=1762464715,5,Calza AGU Gravel mujer color negro vista frontal con tirantes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_detail_04-scaled.jpg?v=1762464715,6,Calza AGU Gravel mujer detalle de panel lateral de malla ventilada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_detail_05-scaled.jpg?v=1762464715,7,Calza AGU Gravel mujer detalle de banda de silicona en pierna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_detail_06-scaled.jpg?v=1762464715,8,Calza AGU Gravel mujer detalle de costuras flatlock interiores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_detail_01-scaled.jpg?v=1762464715,9,Calza AGU Gravel mujer detalle de la badana todoterreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_model_20-scaled.jpg?v=1762464715,10,Calza AGU Gravel mujer uso real sobre bicicleta en ruta de ripio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_model_21-scaled.jpg?v=1762464715,11,49310701-590_model_21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_model_22-scaled.jpg?v=1762464715,12,49310701-590_model_22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_model_23-scaled.jpg?v=1762464715,13,49310701-590_model_23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
calza-gravel-mujer-agu-venture-army-green-rose-brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0548/9777/0750/files/49310701-590_model_24-scaled.jpg?v=1762464715,14,49310701-590_model_24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
